x,Curve1
-0.324,25.5332
4.854,24.4822
9.709,19.5981
14.887,17.0634
19.741,14.2813
24.595,12.7975
29.45,11.1901
34.951,9.7682
39.806,8.5935
44.984,8.1607
49.838,7.2334
54.693,6.6151
59.871,5.8733
64.725,5.8114
69.903,5.0696
74.757,4.8841
79.935,4.575
84.79,4.204
89.644,4.5131
94.822,4.0185
99.676,4.0185
104.854,3.8331
109.709,3.9567
114.887,3.6476
119.741,3.7094
124.595,3.7713
129.773,3.7713
134.628,3.7094
139.806,3.7094
144.66,3.4621
149.838,3.7713
154.693,3.5858
159.871,3.9567
164.725,3.7094
169.903,3.7094
174.757,3.7713
179.612,3.8949
184.79,3.8331
189.644,3.8331
194.822,4.204
199.676,4.0804
204.854,4.4513
209.709,4.2658
214.887,4.0804
219.741,4.2658
224.595,4.6986
229.773,4.6368
234.951,4.575
239.806,4.6368
244.984,5.0077
249.838,4.6986
254.693,4.8223
259.871,5.1314
264.725,5.1314
269.579,5.1314
274.757,5.0696
279.612,5.0077
284.79,5.1314
289.644,5.3168
294.822,5.5023
299.676,5.3168
