x,Curve1
0,1.0429
4.88,2.5143
10.012,6.0102
14.896,7.6657
20.039,9.137
24.924,10.5471
29.807,12.3865
34.955,12.999
39.841,14.2863
44.984,15.5123
49.873,16.3088
54.764,16.6759
59.912,17.1043
64.799,18.1463
69.951,17.8385
74.841,18.3283
79.73,19.1861
84.879,19.2464
89.76,21.5767
94.911,21.5143
99.8,22.1268
104.944,23.2914
110.088,24.5174
114.976,25.498
119.871,25.1289
124.757,26.4162
129.641,27.9489
134.787,28.8068
139.948,26.7198
144.836,27.7004
149.729,27.6994
154.872,29.0481
159.773,27.3293
164.906,30.7025
169.815,27.5726
174.959,28.7372
179.842,30.7608
184.996,29.9622
189.882,31.3109
194.777,30.7577
199.929,30.4499
204.815,31.7373
209.972,30.4479
214.87,29.4039
219.766,28.7894
224.899,32.1626
229.8,30.5052
234.946,31.363
239.845,30.0737
244.732,31.2383
249.888,30.0716
254.776,30.9295
259.914,33.3211
264.82,30.8661
269.964,31.9693
274.852,32.8272
279.999,33.4397
285.155,32.3957
289.79,32.3947
295.199,32.2709
299.333,29.5707
